"","C1Q+ Monocytes","Classical Monocytes","Conventional Dendritic Cells","Gamma-delta Cytotoxic T cells","MAIT / CD161-like T cells","Monocytes","Myeloid cells","Naive B cells","Naive CD4 T cells","NK cells","NK-like cells","Plasma cells","Platelets","Regulatory / Activated CD4 T cells","Unresolved"
"C1Q+ Monocytes",1.38883098268832,1.25572823786861,1.15439924651977,0.710684228255047,0.911668715625112,1.36060309408751,0.693315800374842,1.02480984166471,0.738211767115646,1.20415754163593,0.691748000362706,0.65148516489034,0.265884846176685,0.680044751809454,1.11750958178698
"Classical Monocytes",1.03003520317563,1.1064024734421,0.9946125430992,0.582589383599934,0.819558362209617,1.15901839277736,0.577389710860309,0.998052811277738,0.521168372565226,1.081755303905,0.506015994258084,0.5590370957713,0.411642111803124,0.576991415982469,0.973535464308527
"Conventional Dendritic Cells",1.62408430287341,1.52796809224738,1.45708982826858,0.640519804564827,0.996009210358404,1.70603439803505,0.631987059002755,1.02052651496272,0.741322268322853,1.10669989318073,0.550537246826775,0.598561577373288,0.270699372645439,1.01997001819899,1.82043340495947
"Gamma-delta Cytotoxic T cells",0.888819475755438,0.696958542216463,0.896789131662246,0.439720876023649,0.95932354949131,0.909131728301774,0.254510947257748,0.773574728904073,0.498113228624311,1.1020581151176,0.53195935140844,0.319834543432866,0.00713126473809151,0.600871713195538,0.997856987859819
"MAIT / CD161-like T cells",0.633454074694449,0.821155120219651,0.647422851421485,0.513928119399103,1.05954356530757,0.809933193325596,0.467797551877119,1.05563782064431,0.415004386290938,1.27643223076437,0.48096327273388,0.460832405677648,0.260973854355401,0.261761943087093,0.609766112367174
"Monocytes",1.36376691509781,1.39039767399976,1.26952152732328,0.710699687426161,0.983322706970205,1.49674312790411,0.653077815723833,1.1495211799421,0.635223173344349,1.20292887487327,0.593119970154183,0.626019550974308,0.434727694880086,0.749204249672345,1.35393483783576
"Myeloid cells",0.453622131982352,0.588170215108207,0.407677827359085,0.317489824657146,0.36049097768954,0.581265874294135,0.390757011149775,0.497573895701661,0.27917265155622,0.48352703676666,0.233634815898688,0.290682527797998,0.15910382458333,0.273841205026924,0.516308735659491
"Naive B cells",0.69062767600521,0.874544932014955,0.678435244337595,0.476182979029935,1.17027614908534,0.865698897897352,0.420816513536211,1.08991074742791,0.44062939614797,1.36483190285225,0.505708849958929,0.478969653222412,0.365001238671742,0.42792622012275,0.662222577952474
"Naive CD4 T cells",0.407216959744686,0.312903947584462,0.372957589673441,0.415950322025017,0.918670216525166,0.317494867820442,0.236368712158325,0.795812108243656,0.244715822110395,0.994672989495509,0.36792652599205,0.31343393871803,0.0480362882103577,0.118146512403256,0.303864273666324
"NK cells",0.681281583743591,0.852420868564042,0.653582926517273,0.485096577112667,1.17571688773886,0.857300976907141,0.416664233848537,1.08363386443936,0.459686194827643,1.45198987439202,0.553651981309656,0.483373349640723,0.451424240631903,0.396763075762483,0.575963841344059
"NK-like cells",0.247942437301169,0.367302110517459,0.175898606711195,0.268091536194686,0.700095782267912,0.321414459115407,0.257363654622216,0.504693808136897,0.290877061139159,0.819415985889046,0.410167111642015,0.213556163543261,0.0855434964872476,0.148006806186134,0.228162994483193
"Plasma cells",1.08399111136776,0.913320286037394,0.886132782944093,0.540512509207246,0.87904739078004,1.00124782519663,0.411580395726238,0.904154570738997,0.603030374418444,1.04701967626543,0.428947792696294,0.473467638130505,0.105562645470739,0.585033817509248,1.05173900466363
"Platelets",0.787289519005989,1.09916691705469,0.777188185835258,0.428573291425151,0.962207414231323,1.10836581193471,0.494460378531945,1.44180846945793,0.558176539721271,1.55929065041369,0.720924507309961,0.510901621795082,0.519597105224093,0.40206603491497,0.818580393019887
"Regulatory / Activated CD4 T cells",0.472277282235995,0.618863616988078,0.519792505862424,0.392699480448307,1.12471350401147,0.625523458706526,0.317395555029965,0.977993225971955,0.280776578228824,1.19122841776822,0.421846197097399,0.345497437570679,0.207729995625048,0.294193009705165,0.548953003345241
"Unresolved",1.1072932113097,0.969421016685738,1.09384204001132,0.662310045517192,0.716241338822997,1.17563733071031,0.31579484076887,0.733370423644009,0.430528402636361,0.773882838751991,0.304468337506815,0.621624669779049,0.178879188885415,0.600614832473684,1.28972844540491
