"pathway","total_probability","rank"
"MHC-I",29.3717291217009,1
"MHC-II",19.5908801830227,2
"MIF",17.3556657297152,3
"CD99",11.3864821228887,4
"CLEC",9.99677054457159,5
"APP",8.83382585717565,6
"GALECTIN",8.52874617608542,7
"TGFb",7.4895224515778,8
"ADGRE5",5.30598911396966,9
"THBS",4.4417644797956,10
"ITGB2",4.10879780257889,11
"VISFATIN",4.05250431917141,12
"ICAM",3.38926486694566,13
"CD22",2.93457408801643,14
"CD45",2.93457408801643,15
"PECAM1",1.74058150840641,16
"ANNEXIN",1.4732250606835,17
"CCL",1.09628648086634,18
"IL16",1.01212173292009,19
"CD86",0.955143468737114,20
"COLLAGEN",0.902381900885685,21
"CD23",0.862298838543342,22
"SELPLG",0.826735303603345,23
"CD48",0.808615498436149,24
"ALCAM",0.727269129441597,25
"CD6",0.727269129441597,26
"SEMA4",0.678899495990923,27
"JAM",0.654948951558373,28
"LAMININ",0.610754797637764,29
"PARs",0.407833481847138,30
"GP1BA",0.398635855855084,31
"BAFF",0.364329250525616,32
"IL1",0.3040393646398,33
"ICOS",0.281806032644184,34
"TNF",0.183830660470829,35
"GRN",0.165796166910618,36
"BTLA",0.138939038376102,37
"SEMA7",0.127240053782679,38
"FLT3",0.123307290681312,39
"SEMA6",0.11158241425698,40
"RESISTIN",0.109955823434973,41
"CD40",0.0938310702738197,42
"NECTIN",0.0898486023130103,43
"CD39",0.0844080535709688,44
"IFN-II",0.0672198316863685,45
"NCAM",0.0521996019433766,46
"CD80",0.0511010957275247,47
"LCK",0.0503965315312639,48
"SEMA3",0.0464223035289624,49
"NEGR",0.0464196386061727,50
"CD226",0.0457345940525315,51
"APRIL",0.0431165909215324,52
"CD96",0.041463924830716,53
"LIGHT",0.0402369732006403,54
"ESAM",0.0367926342446075,55
"BAG",0.0257769291659929,56
"CXCL",0.023281666660038,57
"TRAIL",0.0212122225502759,58
"MPZ",0.0175995006615651,59
"CD30",0.00961684391008465,60
"PROS",0.00919486300146993,61
"ANGPTL",0.00896319531819692,62
"CALCR",0.00842051444243999,63
"BMP",0.0066203905845936,64
"CDH1",0.00632357182727167,65
"FASLG",0.00573642734729377,66
"GAS",0.00430900844169754,67
"TWEAK",0.00332393470116626,68
"CD70",0.00176112378728574,69
"CDH",0.000476874365431878,70
"PTPRM",0.000415841464350779,71
"TIGIT",0.000219220725990774,72
