"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Platelets","Conventional Dendritic Cells","APP","CD74",0.261536143831276,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","Gamma-delta Cytotoxic T cells","APP","CD74",0.249108952435776,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","NK cells","HLA-E","KLRK1",0.24657637127627,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"NK cells","MAIT / CD161-like T cells","CD69","KLRB1",0.246143394619857,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Platelets","Plasma cells","APP","CD74",0.244809921774058,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Gamma-delta Cytotoxic T cells","MAIT / CD161-like T cells","CD69","KLRB1",0.232244878990416,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"MAIT / CD161-like T cells","MAIT / CD161-like T cells","CD69","KLRB1",0.223017996519137,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Platelets","Naive B cells","HLA-E","KLRK1",0.212578953044569,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Platelets","Monocytes","APP","CD74",0.20434410957308,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Naive B cells","MAIT / CD161-like T cells","CD69","KLRB1",0.203127133561734,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"NK cells","MAIT / CD161-like T cells","CLEC2B","KLRB1",0.197544028441649,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Platelets","C1Q+ Monocytes","APP","CD74",0.194073937984722,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","Platelets","CD99","CD99",0.191228320860717,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
