"Cell_Type","Outgoing_Communication"
"Conventional Dendritic Cells",13.8920095868612
"Monocytes",13.2582741482858
"C1Q+ Monocytes",12.7315722190747
"Platelets",11.3700164468561
"Classical Monocytes",10.9242691747271
"NK cells",10.0025866354359
"Plasma cells",9.86304881648906
"Naive B cells",9.84956040031056
"MAIT / CD161-like T cells",9.16484038979861
"Gamma-delta Cytotoxic T cells",8.87879719612954
"Regulatory / Activated CD4 T cells",7.79053026525005
"Naive CD4 T cells",5.86430680070479
"Myeloid cells",5.31700981957172
"NK-like cells",4.8103690197538
