"Cell_Type","Incoming_Communication"
"NK cells",15.8860084933197
"Naive B cells",13.317703587514
"Monocytes",13.1197761063038
"MAIT / CD161-like T cells",13.0206444322919
"Classical Monocytes",12.4253030338633
"C1Q+ Monocytes",11.7532396556718
"Conventional Dendritic Cells",10.8915007975349
"NK-like cells",6.99715161764906
"Gamma-delta Cytotoxic T cells",6.92273861936888
"Naive CD4 T cells",6.70610781441325
"Regulatory / Activated CD4 T cells",6.53482077357682
"Plasma cells",6.32565266853844
"Myeloid cells",6.22348533969982
"Platelets",3.59305797950329
