"source","target","ligand","receptor","prob","pval","pathway_name"
"Unresolved","Conventional Dendritic Cells","APP","CD74",0.334394931463537,0,"APP"
"Unresolved","Gamma-delta Cytotoxic T cells","APP","CD74",0.320005980799094,0,"APP"
"Unresolved","Plasma cells","APP","CD74",0.314996696357166,0,"APP"
"Unresolved","Unresolved","APP","CD74",0.292308583895002,0,"APP"
"Unresolved","Monocytes","APP","CD74",0.267031612580753,0,"APP"
"Platelets","Conventional Dendritic Cells","APP","CD74",0.261536143831276,0,"APP"
"Unresolved","C1Q+ Monocytes","APP","CD74",0.254619053121312,0,"APP"
"Platelets","Gamma-delta Cytotoxic T cells","APP","CD74",0.249108952435776,0,"APP"
"Platelets","NK cells","HLA-E","KLRK1",0.24657637127627,0,"MHC-I"
"NK cells","MAIT / CD161-like T cells","CD69","KLRB1",0.246143394619857,0,"CLEC"
"Platelets","Plasma cells","APP","CD74",0.244809921774058,0,"APP"
"Gamma-delta Cytotoxic T cells","MAIT / CD161-like T cells","CD69","KLRB1",0.232244878990416,0,"CLEC"
"Unresolved","Classical Monocytes","APP","CD74",0.228206835256339,0,"APP"
"Platelets","Unresolved","APP","CD74",0.225512838205842,0,"APP"
"MAIT / CD161-like T cells","MAIT / CD161-like T cells","CD69","KLRB1",0.223017996519137,0,"CLEC"
"Platelets","Naive B cells","HLA-E","KLRK1",0.212578953044569,0,"MHC-I"
"Platelets","Monocytes","APP","CD74",0.20434410957308,0,"APP"
"Naive B cells","MAIT / CD161-like T cells","CD69","KLRB1",0.203127133561734,0,"CLEC"
"NK cells","MAIT / CD161-like T cells","CLEC2B","KLRB1",0.197544028441649,0,"CLEC"
"Platelets","C1Q+ Monocytes","APP","CD74",0.194073937984722,0,"APP"
