"source","target","ligand","receptor","prob","pval","pathway_name"
"Platelets","Conventional Dendritic Cells","APP","CD74",0.261536143831276,0,"APP"
"Platelets","Gamma-delta Cytotoxic T cells","APP","CD74",0.249108952435776,0,"APP"
"Platelets","NK cells","HLA-E","KLRK1",0.24657637127627,0,"MHC-I"
"NK cells","MAIT / CD161-like T cells","CD69","KLRB1",0.246143394619857,0,"CLEC"
"Platelets","Plasma cells","APP","CD74",0.244809921774058,0,"APP"
"Gamma-delta Cytotoxic T cells","MAIT / CD161-like T cells","CD69","KLRB1",0.232244878990416,0,"CLEC"
"MAIT / CD161-like T cells","MAIT / CD161-like T cells","CD69","KLRB1",0.223017996519137,0,"CLEC"
"Platelets","Naive B cells","HLA-E","KLRK1",0.212578953044569,0,"MHC-I"
"Platelets","Monocytes","APP","CD74",0.20434410957308,0,"APP"
"Naive B cells","MAIT / CD161-like T cells","CD69","KLRB1",0.203127133561734,0,"CLEC"
"NK cells","MAIT / CD161-like T cells","CLEC2B","KLRB1",0.197544028441649,0,"CLEC"
"Platelets","C1Q+ Monocytes","APP","CD74",0.194073937984722,0,"APP"
"Platelets","Platelets","CD99","CD99",0.191228320860717,0,"CD99"
"NK cells","NK cells","CD69","KLRB1",0.184487028231118,0,"CLEC"
"Regulatory / Activated CD4 T cells","MAIT / CD161-like T cells","CD69","KLRB1",0.181968531623813,0,"CLEC"
"Naive B cells","MAIT / CD161-like T cells","CLEC2B","KLRB1",0.174525217870378,0,"CLEC"
"Gamma-delta Cytotoxic T cells","NK cells","CD69","KLRB1",0.173269758277701,0,"CLEC"
"Naive CD4 T cells","MAIT / CD161-like T cells","CLEC2D","KLRB1",0.172644581411608,0,"CLEC"
"Platelets","Classical Monocytes","APP","CD74",0.172488835023548,0,"APP"
"NK cells","NK cells","HLA-E","KLRK1",0.172404218150644,0,"MHC-I"
"Platelets","NK cells","HLA-E","CD94:NKG2E",0.170879614830712,0,"MHC-I"
"Naive CD4 T cells","MAIT / CD161-like T cells","CD69","KLRB1",0.169222974712812,0,"CLEC"
"MAIT / CD161-like T cells","NK cells","CD69","KLRB1",0.165879674599527,0,"CLEC"
"Regulatory / Activated CD4 T cells","MAIT / CD161-like T cells","CLEC2D","KLRB1",0.165329026363083,0,"CLEC"
"Plasma cells","MAIT / CD161-like T cells","CD69","KLRB1",0.161368176611938,0,"CLEC"
"Naive B cells","NK cells","HLA-E","KLRK1",0.157649916279867,0,"MHC-I"
"Platelets","NK cells","CD99","CD99",0.15683732573891,0,"CD99"
"NK cells","Platelets","CD99","CD99",0.15683732573891,0,"CD99"
"Platelets","Naive B cells","CD99","CD99",0.155657580356289,0,"CD99"
"Naive B cells","Platelets","CD99","CD99",0.155657580356289,0,"CD99"
"C1Q+ Monocytes","NK cells","HLA-E","KLRK1",0.155586079406929,0,"MHC-I"
"Platelets","NK-like cells","HLA-E","KLRK1",0.154056926518835,0,"MHC-I"
"Naive B cells","NK cells","CD69","KLRB1",0.150100457699321,0,"CLEC"
"MAIT / CD161-like T cells","NK cells","HLA-E","KLRK1",0.147830188858042,0,"MHC-I"
"Conventional Dendritic Cells","MAIT / CD161-like T cells","CLEC2B","KLRB1",0.147599297575049,0,"CLEC"
"Platelets","MAIT / CD161-like T cells","HLA-E","CD8A",0.147552687652925,0,"MHC-I"
"NK cells","Naive B cells","HLA-E","KLRK1",0.146643017776155,0,"MHC-I"
"NK cells","NK cells","CLEC2B","KLRB1",0.1457083312062,0,"CLEC"
"Naive B cells","MAIT / CD161-like T cells","CLEC2D","KLRB1",0.144817819751942,0,"CLEC"
"Classical Monocytes","Conventional Dendritic Cells","APP","CD74",0.143689646725262,0,"APP"
