"DEG","SingleR","Freq"
"C1Q+ Monocytes","B_cell",0
"Classical Monocytes","B_cell",0
"Conventional Dendritic Cells","B_cell",0
"Gamma-delta Cytotoxic T cells","B_cell",459
"MAIT / CD161-like T cells","B_cell",0
"Monocytes","B_cell",0
"Myeloid cells","B_cell",0
"Naive B cells","B_cell",0
"Naive CD4 T cells","B_cell",0
"NK cells","B_cell",0
"NK-like cells","B_cell",0
"Plasma cells","B_cell",141
"Platelets","B_cell",1
"Regulatory / Activated CD4 T cells","B_cell",0
"Unresolved","B_cell",22
"C1Q+ Monocytes","CMP",0
"Classical Monocytes","CMP",0
"Conventional Dendritic Cells","CMP",0
"Gamma-delta Cytotoxic T cells","CMP",0
"MAIT / CD161-like T cells","CMP",0
"Monocytes","CMP",0
"Myeloid cells","CMP",0
"Naive B cells","CMP",1
"Naive CD4 T cells","CMP",0
"NK cells","CMP",0
"NK-like cells","CMP",0
"Plasma cells","CMP",0
"Platelets","CMP",0
"Regulatory / Activated CD4 T cells","CMP",0
"Unresolved","CMP",0
"C1Q+ Monocytes","DC",0
"Classical Monocytes","DC",0
"Conventional Dendritic Cells","DC",1
"Gamma-delta Cytotoxic T cells","DC",0
"MAIT / CD161-like T cells","DC",0
"Monocytes","DC",0
"Myeloid cells","DC",0
"Naive B cells","DC",0
"Naive CD4 T cells","DC",0
"NK cells","DC",0
"NK-like cells","DC",0
"Plasma cells","DC",0
"Platelets","DC",0
"Regulatory / Activated CD4 T cells","DC",0
"Unresolved","DC",0
"C1Q+ Monocytes","GMP",0
"Classical Monocytes","GMP",0
"Conventional Dendritic Cells","GMP",0
"Gamma-delta Cytotoxic T cells","GMP",0
"MAIT / CD161-like T cells","GMP",0
"Monocytes","GMP",0
"Myeloid cells","GMP",0
"Naive B cells","GMP",0
"Naive CD4 T cells","GMP",0
"NK cells","GMP",0
"NK-like cells","GMP",0
"Plasma cells","GMP",0
"Platelets","GMP",0
"Regulatory / Activated CD4 T cells","GMP",0
"Unresolved","GMP",7
"C1Q+ Monocytes","Monocyte",138
"Classical Monocytes","Monocyte",683
"Conventional Dendritic Cells","Monocyte",86
"Gamma-delta Cytotoxic T cells","Monocyte",0
"MAIT / CD161-like T cells","Monocyte",0
"Monocytes","Monocyte",619
"Myeloid cells","Monocyte",576
"Naive B cells","Monocyte",0
"Naive CD4 T cells","Monocyte",0
"NK cells","Monocyte",0
"NK-like cells","Monocyte",0
"Plasma cells","Monocyte",0
"Platelets","Monocyte",0
"Regulatory / Activated CD4 T cells","Monocyte",0
"Unresolved","Monocyte",8
"C1Q+ Monocytes","Myelocyte",0
"Classical Monocytes","Myelocyte",0
"Conventional Dendritic Cells","Myelocyte",0
"Gamma-delta Cytotoxic T cells","Myelocyte",0
"MAIT / CD161-like T cells","Myelocyte",0
"Monocytes","Myelocyte",0
"Myeloid cells","Myelocyte",2
"Naive B cells","Myelocyte",0
"Naive CD4 T cells","Myelocyte",0
"NK cells","Myelocyte",0
"NK-like cells","Myelocyte",0
"Plasma cells","Myelocyte",0
"Platelets","Myelocyte",0
"Regulatory / Activated CD4 T cells","Myelocyte",0
"Unresolved","Myelocyte",0
"C1Q+ Monocytes","Neutrophils",0
"Classical Monocytes","Neutrophils",0
"Conventional Dendritic Cells","Neutrophils",0
"Gamma-delta Cytotoxic T cells","Neutrophils",0
"MAIT / CD161-like T cells","Neutrophils",0
"Monocytes","Neutrophils",0
"Myeloid cells","Neutrophils",5
"Naive B cells","Neutrophils",0
"Naive CD4 T cells","Neutrophils",0
"NK cells","Neutrophils",0
"NK-like cells","Neutrophils",0
"Plasma cells","Neutrophils",0
"Platelets","Neutrophils",0
"Regulatory / Activated CD4 T cells","Neutrophils",0
"Unresolved","Neutrophils",0
"C1Q+ Monocytes","NK_cell",0
"Classical Monocytes","NK_cell",0
"Conventional Dendritic Cells","NK_cell",0
"Gamma-delta Cytotoxic T cells","NK_cell",0
"MAIT / CD161-like T cells","NK_cell",6
"Monocytes","NK_cell",0
"Myeloid cells","NK_cell",0
"Naive B cells","NK_cell",227
"Naive CD4 T cells","NK_cell",0
"NK cells","NK_cell",268
"NK-like cells","NK_cell",156
"Plasma cells","NK_cell",0
"Platelets","NK_cell",0
"Regulatory / Activated CD4 T cells","NK_cell",2
"Unresolved","NK_cell",1
"C1Q+ Monocytes","Platelets",0
"Classical Monocytes","Platelets",0
"Conventional Dendritic Cells","Platelets",0
"Gamma-delta Cytotoxic T cells","Platelets",0
"MAIT / CD161-like T cells","Platelets",0
"Monocytes","Platelets",0
"Myeloid cells","Platelets",0
"Naive B cells","Platelets",0
"Naive CD4 T cells","Platelets",0
"NK cells","Platelets",0
"NK-like cells","Platelets",0
"Plasma cells","Platelets",0
"Platelets","Platelets",14
"Regulatory / Activated CD4 T cells","Platelets",0
"Unresolved","Platelets",0
"C1Q+ Monocytes","T_cells",0
"Classical Monocytes","T_cells",0
"Conventional Dendritic Cells","T_cells",0
"Gamma-delta Cytotoxic T cells","T_cells",0
"MAIT / CD161-like T cells","T_cells",124
"Monocytes","T_cells",0
"Myeloid cells","T_cells",0
"Naive B cells","T_cells",240
"Naive CD4 T cells","T_cells",965
"NK cells","T_cells",0
"NK-like cells","T_cells",5
"Plasma cells","T_cells",0
"Platelets","T_cells",0
"Regulatory / Activated CD4 T cells","T_cells",395
"Unresolved","T_cells",0
