"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.75158491462936e-272,6.84145990744346,0.319,0.008,3.76469687214181e-267,"0","NRCAM"
1.37474545115545e-230,6.20742228515896,0.268,0.005,5.30734228873073e-226,"0","LEF1-AS1"
0,4.75516659214257,0.974,0.087,0,"0","LEF1"
0,4.64511704230308,0.608,0.033,0,"0","CHRM3-AS2"
5.16608366624108e-182,4.54512696467242,0.25,0.012,1.99441826018903e-177,"0","EPHX2"
3.45074520592112e-249,4.26222898229608,0.305,0.009,1.33219469419791e-244,"1","ENSG00000289150"
0,3.54047542121582,0.987,0.189,0,"1","S100A12"
0,3.47838335152073,0.824,0.109,0,"1","RBP7"
0,3.46329962945753,1,0.39,0,"1","S100A8"
1.74701674819728e-246,3.24057939381718,0.471,0.049,6.74453285809041e-242,"1","MTARC1"
0,3.60194658738758,0.929,0.12,0,"2","LGALS2"
3.49839910287368e-142,3.39603917796244,0.267,0.023,1.35059195765541e-137,"2","TMEM176A"
1.42126297203987e-191,3.33846732378946,0.404,0.045,5.48692782985711e-187,"2","TMEM176B"
9.29822557620335e-180,3.28946385050574,0.422,0.055,3.58967296594906e-175,"2","TPPP3"
5.9488955525538e-282,3.02655101857378,0.599,0.071,2.29663061701892e-277,"2","NRG1"
2.13678644904758e-223,3.66191284019769,0.742,0.211,8.2492777651931e-219,"3","SEMA6B"
6.62399679017478e-56,3.61076318415725,0.253,0.066,2.55726020081488e-51,"3","GTF2IRD1"
8.93756814393798e-127,3.26682755979892,0.533,0.158,3.4504375576487e-122,"3","AATK"
6.28127870864275e-100,3.23080327731815,0.47,0.146,2.42495045825862e-95,"3","MN1"
6.16095986123288e-226,3.22492575139444,0.822,0.268,2.37850016402757e-221,"3","FAM20C"
5.95902132711446e-202,4.56236326269032,0.421,0.041,2.30053977354581e-197,"4","KLRC2"
1.26936413506533e-169,4.52511922483573,0.274,0.015,4.9005071798332e-165,"4","LAG3"
0,4.08193081306241,0.784,0.076,0,"4","GZMH"
4.12752789171191e-222,3.99778051392972,0.487,0.052,1.5934734178743e-217,"4","TRGC2"
1.98477144116125e-200,3.86795292993069,0.47,0.054,7.66240862574712e-196,"4","TRDC"
0,7.71986732040608,0.473,0.005,0,"5","TCL1A"
0,7.154851238771,0.969,0.02,0,"5","IGHD"
0,6.97361279422283,0.377,0.006,0,"5","SCN3A"
0,6.77441214231695,0.924,0.023,0,"5","COL19A1"
3.47170612636397e-235,6.63610434321458,0.277,0.006,1.34028686714407e-230,"5","ENSG00000224610"
5.93184435575345e-187,6.70963255549091,0.27,0.01,2.29004783198218e-182,"6","LINC02694"
0,6.19428140907399,0.511,0.01,0,"6","CCR4"
4.495719174036e-147,4.05560509454988,0.315,0.026,1.73561734432834e-142,"6","IL2RA"
1.66706038482233e-104,3.42147059897551,0.332,0.048,6.43585332164509e-100,"6","CTLA4"
3.16893224717018e-106,3.32453468412148,0.31,0.04,1.22339798334252e-101,"6","CRIP2"
6.91296215999414e-279,6.04573713819807,0.354,0.007,2.66881817148734e-274,"7","KIR3DL1"
5.07291973279303e-254,5.92073249016513,0.31,0.005,1.95845139204208e-249,"7","ENSG00000288970"
7.35995815200221e-305,5.55573491523173,0.5,0.02,2.84138544416197e-300,"7","XCL2"
1.59407688298167e-122,5.1814108467583,0.437,0.058,6.15409321443905e-118,"7","CCL3"
2.61556487193445e-203,5.04168328176163,0.381,0.019,1.00976497445901e-198,"7","CD160"
2.71945454901e-134,5.12834328189262,0.491,0.044,1.0498726231908e-129,"8","BNC2"
2.30996037363936e-67,4.94014824029513,0.323,0.038,8.91783301847212e-63,"8","LINGO2"
